ProjID,Delivery Date,Lease_Up_Time,MarketCode,StateName,CountyCode,CountyName,TractCode,BlockGroupCode,Latitude,Longitude,ETAKInd,True Owner,ManagementCompany,Submarket,Name,Address,City,Zip,Phone,YearBuilt,Rehab1,Rehab2,Rehab3,Quantity,AreaPerUnit,Level,Neighborhood,Status,Initial_Property_Grade_A,Initial_Property_Grade_A+,Initial_Property_Grade_A-,Initial_Property_Grade_B,Initial_Property_Grade_B+,Initial_Property_Grade_B-,Initial_Property_Grade_C,Initial_Property_Grade_C+,Initial_Property_Grade_C-,Initial_Property_Grade_D,"MarketName_Akron, OH","MarketName_Austin-Round Rock, TX",StateCode_OH,StateCode_TX,Average_Rent_During_LeaseUp,YearBuilt_vs_Overall,AreaPerUnit_vs_Overall,Quantity_vs_Overall,Individual_Competitive_Score,Average_Concession_During_LeaseUp,Effective_Age,First Status_LU,First Status_UC/LU,State_OH,State_TX
10255043,Apr-19,4,12420,Texas,491,Williamson,20312.0,2.0,30.57164,-97.87028,,NE Property Management,NE Property Management,Cedar Park,22 North Apartments,149 S Bagdad Rd,Leander,78641,5129868727,2018,,,,240,1098,3,,S,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1201.8,3.73577235772359,0.2119422807710254,-0.16156609909538888,1.8991556432740249,0.0824252179356116,7,1,0,0,1
19148,Apr-08,12,12420,Texas,453,Travis,1912.0,1.0,30.33318,-97.80856,,JP Morgan,Greystar,Southwest Austin,3500 Westlake,3500 N Capital of Texas Hwy,Austin,78746,5123274111,2008,,,,175,1155,3,,S,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1455.923076923077,-6.26422764227641,0.27485731720449413,-0.38864194725705437,-3.1273850154282674,0.14353547686881007,17,1,0,0,1
48136,Apr-16,15,12420,Texas,453,Travis,1305.0,1.0,30.25967,-97.74876,,Alliance Residential Company,Berkshire Communities,South Austin,422 At The Lake,422 W Riverside Dr,Austin,78704,5124809000,2016,,,,207,816,6,,S,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1140.3846153846155,1.7357723577235902,-0.09932158368929256,-0.27685076046977297,0.7827195516610528,0.0,9,0,1,0,1
53901,Aug-15,13,12420,Texas,453,Travis,902.0,2.0,30.26169,-97.71999,,GF Properties Group LLC,Greystar,East Austin,7East,2025 E 7th St,Austin,78702,5124762025,2016,,,,186,750,5,,S,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1741.2142857142858,1.7357723577235902,-0.172170573243835,-0.3502137267989264,0.7461922615288593,0.06213799072936912,9,0,1,0,1
37301,Aug-13,13,12420,Texas,491,Williamson,20508.0,1.0,30.48168,-97.76888,,TA Associates Realty,Alliance Residential Company,Cedar Park,95 Twenty,9520 Spectrum Dr,Austin,78717,5125244663,2014,,,,334,924,3,,S,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1089.4285714285713,-0.2642276422764098,0.019885853763595307,0.16682051209225035,-0.09278396259067624,0.031090911990614308,11,0,1,0,1
27065,Mar-09,8,12420,Texas,453,Travis,2402.0,4.0,30.20069,-97.76973,,FrontRange Capital Partners,Alliance Residential Company,Far South Austin,Agave at South Congress,625 E Stassney Ln,Austin,78745,5129120005,2009,,,,195,934,3,,S,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1077.2222222222222,-5.26422764227641,0.03092357945367752,-0.31877245551500344,-2.6865912384051023,0.04754887513508198,16,1,0,0,1
91008,Jan-19,7,12420,Texas,453,Travis,1839.0,1.0,30.39005,-97.64754,,Colgate McCallum Advisors Inc,Roscoe Property Management,North Central Austin,Altair Tech Ridge,12408 Dessau Rd,Austin,78753,5123097679,2019,,,,230,950,3,,S,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1328.0,4.73577235772359,0.04858394055780901,-0.1965008449664144,2.343161192035855,0.05653045056401615,6,0,1,0,1
46261,Sep-16,20,12420,Texas,491,Williamson,20318.0,2.0,30.46782,-97.81115,,Altman Management Company Inc,Starlight Investments,Cedar Park,Altis Lakeline,12700 Ridgeline Blvd,Cedar Park,78613,8337097861,2017,,,,354,985,3,,S,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1227.3333333333333,2.73577235772359,0.08721598047309675,0.2366900038343014,1.4413889737705843,0.11915201331754442,8,0,1,0,1
19410,Apr-08,19,12420,Texas,453,Travis,1200.0,2.0,30.26964,-97.75584,,AMLI Residential,AMLI Residential,Downtown/University,AMLI 300,300 N Lamar Blvd,Austin,78703,5124819300,2008,,,,154,973,5,,S,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1843.9,-6.26422764227641,0.07397070964499797,-0.4620049135862079,-3.2023235909619467,0.08241428542070986,17,1,0,0,1
34139,Apr-10,5,12420,Texas,453,Travis,206.0,3.0,30.32744,-97.74014,,AMLI Residential,AMLI Residential,Near North Austin,AMLI 5350,5350 Burnet Rd,Austin,78756,5124585350,2010,2021.0,,,175,832,4,,R,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1306.5,-4.26422764227641,-0.08166122258516095,-0.38864194725705437,-2.2343405773651637,0.07751992529405335,4,0,1,0,1
